Date,PCR,IV_C,STD_C,IV_P,STD_P
2020-12-01,1.727999593,0.055269502,0.048224435,0.110914768,0.256140565
2020-12-02,2.214845673,0.066758138,0.06280737,0.086179635,0.207960013
2020-12-03,1.034853671,0.117492092,0.032245238,0.13567062,0.286221069
2020-12-04,1.224210736,0.091281717,0.040356893,0.152412295,0.322560346
2020-12-07,1.366395942,0.084701855,0.045479018,0.165004505,0.381055914
2020-12-08,2.120809427,0.070895048,0.057196867,0.159265061,0.433904512
2020-12-09,0.97245544,0.072428964,0.064369584,0.111759907,0.397839045
2020-12-10,1.031985432,0.181113804,0.059081229,0.209331774,0.607196171
2020-12-11,1.01184185,0.136312986,0.06981818,0.239208091,0.683513629
2020-12-14,0.965362549,0.217445338,0.097987602,0.272811576,1.024193293
2020-12-15,0.57862206,0.311083702,0.189930507,0.361446775,1.618685674
2020-12-16,,,,,
2020-12-17,0.894146138,0.069053298,0.028566458,0.104316472,0.294435869
2020-12-18,0.995738425,0.062109715,0.027374245,0.088957268,0.299414664
2020-12-21,2.05287896,0.045551216,0.040207268,0.101951548,0.201448054
2020-12-22,0.712344045,0.079803187,0.04056688,0.079057707,0.248137141
2020-12-23,1.416561443,0.040246672,0.042003478,0.064765773,0.128435438
2020-12-24,1.10216577,0.069697144,0.035404852,0.107231545,0.267164531
2020-12-25,1.097781063,0.071232082,0.037509991,0.085988399,0.189222328
2020-12-28,2.053888745,0.057675534,0.048556243,0.100860658,0.2178958
2020-12-29,1.04110776,0.055907495,0.0409644,0.068809976,0.15819493
2020-12-30,5.45869436,0.079961789,0.044268414,0.092512339,0.219109992
2020-12-31,1.051353291,0.082537804,0.03664604,0.134695493,0.294534929
2021-01-04,1.709512073,0.075236284,0.047777473,0.115625261,0.07384863
2021-01-05,2.09321655,0.050952947,0.043874155,0.087725558,0.061587113
2021-01-06,1.252860607,0.070425691,0.057612515,0.069892938,0.098780383
2021-01-07,1.196675151,0.114747175,0.042926791,0.19291375,0.069220793
2021-01-08,1.217640997,0.124078928,0.045923681,0.193241373,0.086784149
2021-01-11,1.406124586,0.118330838,0.065987881,0.189087165,0.09115292
2021-01-12,1.235856589,0.111519097,0.046864876,0.143190741,0.113537734
2021-01-13,3.194921784,0.088027313,0.085767641,0.128517135,0.107611059
2021-01-14,1.620171372,0.233367906,0.070602433,0.279000872,0.104248616
2021-01-15,1.165747509,0.278630446,0.073811365,0.199414505,0.117857577
2021-01-18,0.963383219,0.237094606,0.091584414,0.379465706,0.172654514
2021-01-19,1.936951323,0.235921507,0.130256412,0.423371804,0.25728975
2021-01-20,0.941855529,0.333678993,0.207285353,0.309773504,0.409218008
2021-01-21,1.250056436,0.099438222,0.049405724,0.166209004,0.072907658
2021-01-22,0.993584848,0.116798972,0.03993744,0.113564138,0.056753773
2021-01-25,0.923116893,0.086798121,0.03635124,0.136801347,0.087905156
2021-01-26,0.640903105,0.088427214,0.035419268,0.08596575,0.095764577
2021-01-27,1.047718798,0.051033367,0.04507265,0.052501034,0.072837511
2021-01-28,0.66103108,0.132307615,0.042465957,0.182182718,0.088350421
2021-01-29,0.429039916,0.14657,0.04471243,0.127888745,0.091161546
2021-02-01,1.435395995,0.072891297,0.043201034,0.174282283,0.086868897
2021-02-02,2.245883367,0.075249937,0.047684482,0.133000065,0.075435827
2021-02-03,1.159563861,0.069503673,0.049650061,0.081780542,0.087407925
2021-02-04,1.092428162,0.154935525,0.026260153,0.213008617,0.051666232
2021-02-05,1.623173449,0.147634197,0.034066116,0.194689697,0.081841048
2021-02-17,2.016149385,0.287672176,0.315066396,0.641467928,0.700847911
2021-02-18,1.657145323,0.109691313,0.066319422,0.128030778,0.076752114
2021-02-19,0.856971668,0.080736911,0.038672074,0.172454667,0.120236094
2021-02-22,1.132526289,0.089193882,0.033265248,0.140831216,0.150514425
2021-02-23,1.693019151,0.053889302,0.045268425,0.083513015,0.07236863
2021-02-24,0.370150395,0.063970038,0.0414637,0.077040069,0.121868677
2021-02-25,1.080315382,0.085848076,0.031370149,0.170250886,0.08566024
2021-02-26,0.848142727,0.137031411,0.042045259,0.15485593,0.122553964
2021-03-02,0.616914542,0.110069126,0.049297837,0.093252523,0.097839364
2021-03-03,3.15273594,0.05793397,0.076472679,0.098561104,0.076774669
2021-03-04,0.933507309,0.163754193,0.03682221,0.178913684,0.069438112
2021-03-05,0.885909086,0.135054266,0.039038613,0.204476276,0.083028153
2021-03-08,1.264288336,0.158113343,0.048432248,0.137193554,0.087920311
2021-03-09,1.176768921,0.101065427,0.050321688,0.148024651,0.074212429
2021-03-10,1.062698098,0.088771459,0.066844757,0.104500901,0.100521515
2021-03-11,1.60305417,0.165551079,0.033016765,0.284445861,0.111577292
2021-03-12,1.318689331,0.196779574,0.117571397,0.24853856,0.095820336
2021-03-15,1.448227484,0.193422425,0.077877971,0.338106361,0.176079755
2021-03-16,1.463603911,0.195369691,0.152619199,0.336770443,0.240278459
2021-03-17,1.080691412,0.270434059,0.20348731,0.281864471,0.424079556
2021-03-18,0.928747382,0.072372594,0.031632911,0.087018877,0.058795765
2021-03-19,0.641183442,0.072405254,0.03697808,0.092975799,0.084338123
2021-03-22,1.012948654,0.045484842,0.033458927,0.079162972,0.039675748
2021-03-23,0.856425536,0.050065452,0.030042507,0.048384858,0.052663712
2021-03-24,0.909119732,0.033305729,0.028596524,0.040066267,0.053180418
2021-03-25,1.01516662,0.070930663,0.031440923,0.108437011,0.039224803
2021-03-26,1.476278842,0.055276015,0.03227297,0.103567096,0.046953829
2021-03-29,1.466915701,0.051712759,0.02902997,0.085424354,0.03609337
2021-03-30,2.727401305,0.033378823,0.032084086,0.07440407,0.053071666
2021-03-31,0.670682913,0.042017112,0.035640437,0.044212412,0.062156793
2021-04-01,1.550805009,0.073810164,0.035479699,0.12267263,0.074786305
2021-04-06,1.277042669,0.06298934,0.04492532,0.075065276,0.063150092
2021-04-07,2.292141533,0.050698665,0.046011916,0.074670025,0.071397084
2021-04-08,1.451184257,0.071211577,0.034469099,0.14143015,0.057717931
2021-04-09,1.257616743,0.098792547,0.038318526,0.116522403,0.074734515
2021-04-12,1.24833408,0.080831205,0.030158098,0.113454614,0.085418949
2021-04-13,1.02443272,0.096262095,0.047529658,0.075852577,0.091044802
2021-04-14,1.515520538,0.065395903,0.057488429,0.102822698,0.09394301
2021-04-15,1.433095303,0.112662037,0.05355993,0.243310229,0.102542573
2021-04-16,1.343982323,0.130517506,0.043484381,0.226344371,0.099532678
2021-04-19,2.059846242,0.178578845,0.111253588,0.297733416,0.223619914
2021-04-20,2.778834474,0.166621005,0.124559063,0.407008717,0.371539893
2021-04-21,0.971541682,0.250430208,0.232828335,0.369191486,0.43571666
2021-04-22,1.424405365,0.093671206,0.038613438,0.127808316,0.095956062
2021-04-23,1.348139058,0.057678267,0.038170369,0.118739679,0.054057011
2021-04-26,2.445721584,0.038023261,0.031577707,0.126639136,0.082345381
2021-04-27,1.983827462,0.042128498,0.046436431,0.077602416,0.084681436
2021-04-28,1.631134001,0.034358984,0.038731492,0.060785324,0.075522724
2021-04-29,1.337643885,0.093082174,0.036597159,0.120402149,0.089482476
2021-05-03,0.507536618,0.104970997,0.043114333,0.110352448,0.096547925
2021-05-04,0.509639813,0.09738368,0.038250465,0.127953055,0.104492208
2021-05-05,0.607989865,0.080860843,0.055364037,0.086266705,0.106130056
2021-05-06,1.096729805,0.116208721,0.041157148,0.208728047,0.067189846
2021-05-07,1.425499916,0.09030182,0.04007181,0.188476234,0.058638109
2021-05-10,1.068532259,0.113257447,0.044274693,0.140488092,0.11024033
2021-05-11,0.522976072,0.174100375,0.060786058,0.175876879,0.158381639
2021-05-12,0.568346081,0.201950009,0.109755781,0.236605711,0.246401355
2021-05-13,0.830220612,0.391871879,0.096933604,0.646478284,0.268382647
2021-05-14,0.94738911,0.288745303,0.083312979,0.580494196,0.245476041
2021-05-17,0.824863605,0.526727805,0.136303111,0.783791635,0.389572892
2021-05-18,1.802766564,0.404782849,0.21521161,0.925554502,0.496694365
2021-05-19,0.980600378,0.395310372,0.317492945,0.55971069,0.545101863
2021-05-20,0.59979269,0.142607615,0.048248915,0.292704328,0.163677144
2021-05-21,0.930299603,0.107433891,0.031715453,0.213247249,0.10670503
2021-05-24,1.318341378,0.095203308,0.028639347,0.194288409,0.115898452
2021-05-25,2.217552809,0.068161896,0.049075683,0.134984436,0.093809082
2021-05-26,1.326309715,0.036251891,0.043424129,0.068258569,0.077501515
