dataset,leakage,feature,run,model,chi_square,best_c,test_accuracy,test_macro_f1,path
criminal_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,0.25,0.927683183470442,0.3718861607393,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,Yes,0.5,0.952745360627511,0.5641998644505914,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.9244308398699064,0.3603313320649586,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,No,0.0625,0.9481538167208724,0.594938891384597,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,0.25,0.9246221541993496,0.367092591874312,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,Yes,4.0,0.951980103309738,0.5263386753614343,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.5,0.9334226133537402,0.366934525782994,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,No,4.0,0.9510235316625216,0.5798042707713537,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,0.25,0.9347618136598432,0.3585787223587446,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.9426057011670174,0.5598267680067295,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.25,0.925578725846566,0.382484774425432,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,2.0,0.9445188444614502,0.5712932304460286,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
criminal_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,2.0,0.9274918691409988,0.3717334414166315,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
cwc_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,Yes,0.0625,0.8535911602209945,0.6541390103070531,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
