Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
Criminal,criminal_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.9426057011670174,0.5598267680067295,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.25,0.925578725846566,0.382484774425432,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,No chi-square,2.0,0.9445188444614502,0.5712932304460286,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Criminal,criminal_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,2.0,0.9274918691409988,0.3717334414166315,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,BoW,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,BoW,BOW + SVM,Chi-square,0.0625,0.8535911602209945,0.6541390103070531,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.8149171270718232,0.542013683957418,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,BoW,BOW + SVM,No chi-square,0.0625,0.8756906077348067,0.6806696533980969,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,No chi-square,0.0625,0.8176795580110497,0.5441303677507906,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF,TF + SVM,Chi-square,2.0,0.8674033149171271,0.5796932130416911,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,Chi-square,0.125,0.8232044198895028,0.5453635934281825,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
