,Date,File,收盤價(元)
486,2022-09-28,o20220928.csv,13466.07
487,2022-09-29,o20220929.csv,13534.26
488,2022-09-30,o20220930.csv,13424.58
489,2022-10-03,o20221003.csv,13300.48
490,2022-10-04,o20221004.csv,13576.52
491,2022-10-05,o20221005.csv,13801.43
492,2022-10-06,o20221006.csv,13892.05
493,2022-10-07,o20221007.csv,13702.28
494,2022-10-11,o20221011.csv,13106.03
495,2022-10-12,o20221012.csv,13081.24
496,2022-10-13,o20221013.csv,12810.73
497,2022-10-14,o20221014.csv,13128.120000000003
498,2022-10-17,o20221017.csv,12966.05
499,2022-10-18,o20221018.csv,13124.68
500,2022-10-19,o20221019.csv,12976.76
501,2022-10-20,o20221020.csv,12946.1
502,2022-10-21,o20221021.csv,12819.2
503,2022-10-24,o20221024.csv,12856.98
504,2022-10-25,o20221025.csv,12666.120000000003
505,2022-10-26,o20221026.csv,12729.05
506,2022-10-27,o20221027.csv,12926.370000000003
507,2022-10-28,o20221028.csv,12788.42
508,2022-10-31,o20221031.csv,12949.75
509,2022-11-01,o20221101.csv,13037.209999999997
510,2022-11-02,o20221102.csv,13100.17
511,2022-11-03,o20221103.csv,12986.6
512,2022-11-04,o20221104.csv,13026.709999999997
513,2022-11-07,o20221107.csv,13223.73
514,2022-11-08,o20221108.csv,13347.76
515,2022-11-09,o20221109.csv,13638.81
516,2022-11-10,o20221110.csv,13503.76
517,2022-11-11,o20221111.csv,14007.56
518,2022-11-14,o20221114.csv,14174.9
519,2022-11-15,o20221115.csv,14546.31
520,2022-11-16,o20221116.csv,14537.35
521,2022-11-17,o20221117.csv,14535.23
522,2022-11-18,o20221118.csv,14504.99
523,2022-11-21,o20221121.csv,14449.39
524,2022-11-22,o20221122.csv,14542.2
525,2022-11-23,o20221123.csv,14608.54
526,2022-11-24,o20221124.csv,14784.0
527,2022-11-25,o20221125.csv,14778.51
528,2022-11-28,o20221128.csv,14556.87
529,2022-11-29,o20221129.csv,14709.64
530,2022-11-30,o20221130.csv,14879.55
531,2022-12-01,o20221201.csv,15012.8
532,2022-12-02,o20221202.csv,14970.68
533,2022-12-05,o20221205.csv,14980.74
534,2022-12-06,o20221206.csv,14728.88
535,2022-12-07,o20221207.csv,14630.01
536,2022-12-08,o20221208.csv,14553.04
537,2022-12-09,o20221209.csv,14705.43
538,2022-12-12,o20221212.csv,14612.59
539,2022-12-13,o20221213.csv,14522.96
540,2022-12-14,o20221214.csv,14739.36
541,2022-12-15,o20221215.csv,14734.13
542,2022-12-16,o20221216.csv,14528.55
543,2022-12-19,o20221219.csv,14433.32
544,2022-12-20,o20221220.csv,14170.03
545,2022-12-21,o20221221.csv,14234.4
546,2022-12-22,o20221222.csv,14442.94
547,2022-12-23,o20221223.csv,14271.629999999997
548,2022-12-26,o20221226.csv,14285.129999999997
549,2022-12-27,o20221227.csv,14328.43
550,2022-12-28,o20221228.csv,14173.1
551,2022-12-29,o20221229.csv,14085.02
552,2022-12-30,o20221230.csv,14137.69
553,2023-01-03,o20230103.csv,14224.120000000003
554,2023-01-04,o20230104.csv,14199.129999999997
555,2023-01-05,o20230105.csv,14301.05
556,2023-01-06,o20230106.csv,14373.34
557,2023-01-09,o20230109.csv,14752.21
558,2023-01-10,o20230110.csv,14802.96
559,2023-01-11,o20230111.csv,14751.44
560,2023-01-12,o20230112.csv,14731.64
561,2023-01-13,o20230113.csv,14824.13
562,2023-01-16,o20230116.csv,14927.01
563,2023-01-17,o20230117.csv,14932.93
564,2023-01-30,o20230130.csv,15493.82
565,2023-01-31,o20230131.csv,15265.2
566,2023-02-01,o20230201.csv,15420.13
567,2023-02-02,o20230202.csv,15595.16
568,2023-02-03,o20230203.csv,15602.66
569,2023-02-06,o20230206.csv,15392.82
570,2023-02-07,o20230207.csv,15400.91
571,2023-02-08,o20230208.csv,15618.17
572,2023-02-09,o20230209.csv,15598.71
573,2023-02-10,o20230210.csv,15586.65
574,2023-02-13,o20230213.csv,15544.28
575,2023-02-14,o20230214.csv,15654.48
576,2023-02-15,o20230215.csv,15432.89
577,2023-02-16,o20230216.csv,15550.5
578,2023-02-17,o20230217.csv,15479.7
579,2023-02-20,o20230220.csv,15551.23
580,2023-02-21,o20230221.csv,15563.0
581,2023-02-22,o20230222.csv,15418.77
582,2023-02-23,o20230223.csv,15615.41
583,2023-02-24,o20230224.csv,15503.79
584,2023-03-01,o20230301.csv,15598.49
585,2023-03-02,o20230302.csv,15598.72
586,2023-03-03,o20230303.csv,15608.42
587,2023-03-06,o20230306.csv,15763.51
588,2023-03-07,o20230307.csv,15857.89
589,2023-03-08,o20230308.csv,15818.2
590,2023-03-09,o20230309.csv,15770.66
591,2023-03-10,o20230310.csv,15526.2
592,2023-03-13,o20230313.csv,15560.49
593,2023-03-14,o20230314.csv,15360.42
594,2023-03-15,o20230315.csv,15387.59
595,2023-03-16,o20230316.csv,15221.12
596,2023-03-17,o20230317.csv,15452.96
597,2023-03-20,o20230320.csv,15419.97
598,2023-03-21,o20230321.csv,15513.45
599,2023-03-22,o20230322.csv,15760.46
600,2023-03-23,o20230323.csv,15863.95
601,2023-03-24,o20230324.csv,15914.7
602,2023-03-27,o20230327.csv,15830.31
603,2023-03-28,o20230328.csv,15701.48
604,2023-03-29,o20230329.csv,15769.76
605,2023-03-30,o20230330.csv,15849.43
606,2023-03-31,o20230331.csv,15868.06
607,2023-04-06,o20230406.csv,15810.77
608,2023-04-07,o20230407.csv,15836.5
609,2023-04-10,o20230410.csv,15876.17
610,2023-04-11,o20230411.csv,15913.88
611,2023-04-12,o20230412.csv,15932.97
612,2023-04-13,o20230413.csv,15804.76
613,2023-04-14,o20230414.csv,15929.43
614,2023-04-17,o20230417.csv,15963.55
615,2023-04-18,o20230418.csv,15869.44
616,2023-04-19,o20230419.csv,15770.47
617,2023-04-20,o20230420.csv,15707.52
618,2023-04-21,o20230421.csv,15602.99
619,2023-04-24,o20230424.csv,15626.87
620,2023-04-25,o20230425.csv,15370.73
621,2023-04-26,o20230426.csv,15374.63
622,2023-04-27,o20230427.csv,15411.49
623,2023-04-28,o20230428.csv,15579.18
624,2023-05-02,o20230502.csv,15636.48
625,2023-05-03,o20230503.csv,15553.41
626,2023-05-04,o20230504.csv,15609.03
627,2023-05-05,o20230505.csv,15626.07
628,2023-05-08,o20230508.csv,15699.57
629,2023-05-09,o20230509.csv,15727.7
