TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
再保險人,原保險契約的保險人，藉由與其他保險人簽訂再保險契約的方式，將其承保的危險責任的一部或全部，轉向其他保險人。此時，與原保險人簽訂再保險契約的其他保險人就是再保險人。例如：甲公司就其工廠向A保險公司投保火災險，A保險公司再與B保險公司簽訂再保險契約，約定如果A保險公司與甲公司間保險契約的保險事故發生時，由B保險公司給付A保險公司所應賠付的理賠金。此時B保險公司就是「再保險人」。,V             
原處分卷,人民對行政處分、訴願決定不服，提起行政訴訟，該行政處分為「原處分」，而行政機關在處理、作成行政處分（原處分）的過程中，把相關資料整理、裝訂的卷宗，即「原處分卷」。,A             
停止執行,行政處分原則上不因提起訴願或行政訴訟而暫時停止發生效力或停止執行程序，但有法律特別規定時，可依法停止執行，或聲請行政法院裁定停止執行。例如稅捐稽徵法第39條第2項以提供擔保或繳納部分款項為停止執行的條件、行政訴訟法第116條聲請行政法院裁定停止執行。,A             
違約金,當事人於締結契約之際，約定如債務不履行之時，應由債務人向債權人給付一定之金錢，稱為「違約金」。,G             
懲處,公務人員的「懲處」不同於公務員「懲戒」，懲處是由服務機關所為，懲戒則屬懲戒法院執掌。懲處規定在公務人員考績法的平時考核中，依該法第12條規定，平時考核的懲處分為申誡、記過、記大過，並於機關長官進行年終考績時，一併計算於成績增減總分（此請參見考績評定），且獎懲可以互相抵銷（懲戒不可以），若沒有獎懲互抵而使懲處累積達2大過者，該公務人員的年終考績應列丁等，其法律效果則是免職。,A             
妨害投票正確罪,依刑法第146條規定有二：一.以詐術或其他非法之方法，使投票發生不正確結果或變造投票結果。如選務人員「做票」；二.意圖使特定候選人當選，以虛偽遷徙戶籍取得投票權而為投票。如實際上未居住於選區，為投票予某候選人，將戶籍遷入而取得投票權並前往投票。,M             
幫助犯,"解釋一：幫助他人（正犯）實行犯罪行為者，為幫助犯。雖然被幫助的正犯不知幫助之情，也成立幫助犯。 幫助犯的處罰，得按正犯的刑減輕之。
協助正犯為犯罪之人，非主要罪犯者。
解釋二：幫助是指對於實施犯罪的人提供助力，而提供幫助的人就是幫助犯。刑法針對幫助犯規定在第30條：「幫助他人實行犯罪行為者，為幫助犯。雖他人不知幫助之情者，亦同」。必須符合以下要件：（一）幫助行為（二）被幫助者有故意不法的行為（三） 幫助行為必須對正犯的實行行為有直接影響（四） 幫助者有幫助故意。
例如甲乙二人是保全公司同事，共同負責運鈔業務。甲明知乙有意侵占業務上持有的現鈔，竟不勸阻或採取措施避免，反倒是以上廁所為由離開現場，便利乙侵占現鈔，成立業務侵占罪的幫助犯。",M             
第二次權利保護,行政法上對於除去國家違法行為的學說分類：如果行政機關的負擔處分或不作成授益處分侵害人民的權利或法律上利益，人民得依法提起行政訴訟，以排除該侵害；如仍不足以填補其所受損害，依國家賠償法第2條第2項規定，人民也可以請求國家賠償。學說上稱前者為人民受到公權力侵害之「第一次權利保護」（確認行政行為違法），稱後者為「第二次權利保護」（填補因違法所造成的損害）。第一次權利保護之目的在「排除侵害」，第二次權利保護之目的則在「填補損害」（可參考最高行政法院105年度判字第201號判決）。,A             
俾,使；以便。,A             
交付審判,告訴人不滿意上級檢察署檢察長駁回其對不起訴或緩起訴處分的再議聲請，在收到處分書之後的10天內委請律師寫聲請狀，向法院請求裁定准該案交由法院進行審判。,M             
一身專屬性,用於描述權利義務法律關係的特性。具有一身專屬性的權利或義務，必須由權利人或義務人親自行使或履行，不可以代理或轉讓的方式交由他人完成。如果權利義務不具有一身專屬性，權利人或義務人是可以透過代理或轉讓的方式交由他人完成，通常財產權色彩較濃厚的權利義務，較不具有一身專屬性。,A             
強制猥褻,為刑法之罪名，規定於刑法第224條「對於男女以強暴、脅迫、恐嚇、催眠術或其他違反其意願之方法，而為猥褻之行為者，處六月以上五年以下有期徒刑。」。,M             
對於未滿十四歲之女子為性交罪,刑法第227條第1項「對未滿十四歲之男女為性交者」，處三年以上十年以下有期徒刑。性交之定義依刑法第10條第5項規定。刑法第227條第1項之適用範圍，依最高法院99年度第7次刑事庭會議決議，行為人與七歲以上未滿十四歲之被害人合意性交者，始有適用。,M             
選定當事人,具有共同利益的多數人，將其實施訴訟的權能授與其中1至5人後脫離訴訟程序，由該1至5名被選定人以自己名義為訴訟行為（行政訴訟法第29條以下）。,A             
傳聞證人,"自己並沒有親身經歷，只是把別人告訴自己的事情，予以轉述的證人。
例如：B在親眼目睹殺人過程後，B把所看到、聽到的事情告訴A。假設B在說完後過世了，法院只好叫A來當證人，A就是所謂的傳聞證人。",M             
防禦性證據,可以反駁控訴，證明犯罪事實不存在，或者是證明犯罪嫌疑人、被告人無罪，罪輕以及減輕他們刑事責任的證據。例如檢察官質疑被告甲於案發時在現場協助殺人兇手毀屍滅跡，甲當庭提出機票，作為案發時人在國外的不在場證明，該機票即為防禦性證據。,M             
行政訴訟,行政法爭議事件的司法訴訟，狹義的行政訴訟，指專由行政法院職司審理的公法上爭議。廣義的行政訴訟，還包括由一般法院審理的公職人員選舉罷免訴訟、國家賠償訴訟，及根據司法院大法官審理案件法聲請大法官解釋的憲法爭議等。,A             
獨立證據,又稱主要證據，與補強證據是相對的概念，當一個證據可以用來證明犯罪事實確實發生， 這樣的證據就稱之為主要證據或獨立證據。另補強證據則是要加強主要證據的證明力的證據。,M             
故意過失,故意，指行為人對於違法的事實，主觀上明知並有意使其發生，或認知其可能發生，且其發生亦不違反其本意。亦即應包含認知及意願兩項要素；過失，則指行為人主觀上非基於故意，但按其情節應注意，並能注意，卻不注意。,A             
權利保護要件,當事人提起訴訟，除訴訟標的法律關係外，必須依法具有權利義務主體地位之當事人適格，且有權利保護必要（訴之利益），此為當事人請求法院為有利於己之本案判決所須具備之權利保護要件。,A             
加重其刑,意指於量刑時加重被告之刑度，實務上又可區分為「總則加重」與「分則加重」，屬「總則加重」者，僅為處斷刑上之加重，並未改變其犯罪類型，原有之法定刑不受影響(例如刑法第47條第1項累犯加重之規定)；屬「分則加重」者，係就其犯罪類型變更之特定犯罪行為予以加重，使其成為另一獨立之犯罪(例如刑法第134條公務員假借職務上權力、機會或方法犯罪之規定)。,M             
構成要件故意,包括「認知」與「意欲」。「認知」，指對行為、因果關係及結果等客觀構成要件要素之實現有所認識；「意欲」，指行為人心理上希望構成要件實現或結果發生的態度。如行為人認知以刀刺入被害人心臟將致其死亡，心理上也希望結果發生，即具殺人罪之構成要件故意。,M             
