TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
不利益變更禁止原則,是指由被告上訴，或為被告之利益上訴者，第二審法院不得諭知較重於原審判決之刑。此一原則的目的在於防止被告因畏懼上訴可能會遭受更重刑之判決，而不敢行使其上訴權。但如果檢察官或自訴人為被告之不利益上訴(合法而且有理由)，或者原審判決適用法條不當而被撤銷者，就不在禁止之列。,M             
協助自訴,檢察官之任務除了提起公訴及實行公訴外，在採行公訴、自訴雙軌制的法制之下，檢察官在自訴案件中亦可出庭陳述意見，協助自訴人進行訴訟程序。依刑事訴訟法第三百三十條之規定：「法院應將自訴案件之審判期日通知檢察官。檢察官對於自訴案件，得於審判期日出庭陳述意見。」此外，依法院組織法第六十條第一款之規定，檢察官也有協助自訴人進行自訴程序之職權，且自訴案件雖多為侵害個人法益之犯罪，但亦不乏與國家或社會法益有重大關係者，代表公益之檢察官自不能置之不問。,M             
準予備查,應為「准予備查」之誤，請參考「准予備查」的解釋。,F             
強制執行名義,"打贏了官司，對方卻不肯自動履行債務時。為了實現權利，就要向法院執行處聲請「強制執行」。
所謂「執行名義」，就是可以向法院聲請強制執行的一個法律上的憑證，因為效力強大，所以強制執行法第4條對執行名義的種類有明確的規定如下：
1、確定之終局判決。
2、假扣押、假處分、假執行之裁判及其他依民事訴訟法得為強制執行之裁判。
3、依民事訴訟法成立之和解或調解。
4、依公證法規定得為強制執行之公證書。
5、抵押權人或質權人，為拍賣抵押物或質物之聲請，經法院為許可強制執行之裁定者。
6、其他依法律之規定，得為強制執行名義者。例如：本票裁定、支付命令、經法院核定之調解書等。
",F             
遺囑執行人,指執行遺囑的人。遺囑本來是應該由繼承人來執行的，但有時候遺囑的內容會與繼承人的利益相反，很難期待繼承人會完全依照遺囑的內容執行，所以民法就設立遺囑執行人制度。又遺囑執行人原則上是由遺囑人以遺囑指定或委託他人指定；如果沒有指定的遺囑執行人，也可以由親屬會議選定；不能由親屬會議選定時，利害關係人也可以聲請法院指定。,F             
精神障礙,指實體法上，有精神疾病影響行為人辨識行為違法之辨識能力，或依其辨識而為行為之控制能力，責任能力欠缺或減低，法律上不罰或得減輕其刑。在訴訟上，如被告因「精神障礙」無法為完全之陳述，審判長應指定公設辯護人或律師為其辯護。,M             
治外法權,治外法權為基於外交談判的結果，使特定人及案件豁免於當地法律的管轄。,M             
法律保留原則,亦即所謂「積極」的依法行政，係指在沒有法律授權的情形下，行政機關即不能合法的作成行政行為，所以憲法已將某些事項保留予立法機關，須由立法機關親自以法律加以規定，才符合民主原則，如果沒有由立法機關所制定之「法律」授權，行政機關即不能合法的作成行政行為，亦即行政行為不僅要不牴觸法律，也不能以消極的不違反法律為已足，還需要積極以法律明定。,M             
公法營造物,行政主體為達成公共行政上之特定目的，將人與物作功能上之結合，以制定法規作為組織之依據所設置之組織體，與公眾或特定人間發生法律上之利用關係。,A             
酌減其刑,酌減其刑，是指依刑法第59條酌量減輕其刑。當法官根據刑法第57條、第58條及其他減輕刑度的特別規定審酌後，認為縱使判處被告最輕的刑度，仍然過重，而且被告的犯罪情狀足以引起一般人的同情，應該給予憫恕，此時法官得依刑法第59條再減輕刑度。,M             
一例一休,勞動基準法中關於勞工休假的一種規定。,F             
再行起訴,不起訴處分已經確定或緩起訴處分期滿未經撤銷者，除非是發現新事實或新證據，或有刑事訴訟法第420條第1項第1款、第2款、第4款或第5款所定得為再審原因之情形，否則檢察官不可以就同一案件再行起訴。 例如：車禍事件，某甲因證據不足，檢察官為不起訴處分後，證人乙提出車禍發生時之影像紀錄，足以證明某甲確實是肇事者時，檢察官可再行起訴。,M             
在場助勢,所謂「在場助勢」指既非首謀，亦非下手實施強暴或脅迫之人，於犯罪之際在場吶喊助長聲勢，尚未達幫助犯之程度者而言。若除在場吶喊助勢外，尚有擔任封鎖現場之工作者，則非在場助勢，而應依下手實施之共同正犯論處。,M             
補強證據,補強證據，指除自白本身之外，其他能證明自白的犯罪事實確實有相當程度真實的證據，雖所要強化證據的，不以事實的全部為必要，但亦須要這證據與自白能相互利用，足以使犯罪事實讓人相信，才能屬補強證據。,M             
請求乃論之罪,有些罪必須經外國政府的請求，才能符合訴訟條件開始審理，例如刑法第116條侵害友邦元首或外國代表罪、第118條侮辱外國旗章罪。,M             
基本權,"基本權，就是賦與保障人民的自由，防止國家權力侵犯的權利。如果人民的基本權利因國家的違法或恣意行為而遭受侵害時，根據基本權的防禦作用，人民就可以經由法律程序排除國家的侵害行為，以維護憲法保障的基本權利。
",A             
可歸責於被告,應當由被告負責,G             
準強盜罪,刑法第329條規定：「竊盜或搶奪，因防護贓物、脫免逮捕或湮滅罪證，而當場施以強暴脅迫者，以強盜論。」此即一般所稱的「準強盜罪」。此罪是在竊盜或搶奪財物之後，偶發的對人施以強暴脅迫，故又稱為「事後強盜罪」。,M             
積極證據,為證明被告犯罪之證據，謂之本證，又稱攻擊證據。在當事人進行主義，原告檢察官或自訴人負舉證之責，應提出被告犯罪事實之證據，此即為積極證據。,M             
共同訴訟參加,共同訴訟參加，是指參加人就訴訟標的與其所輔助的訴訟當事人必須合一確定，但並非以共同訴訟人的身分一同起訴或被訴，而是以參加人的身分參與訴訟。所謂合一確定，是指判決的結果在共同訴訟參加人與其所輔助的訴訟當事人間，不許有歧異的情形出現。共同訴訟參加的效力，依民事訴訟法第62條規定，是準用同法第56條的規定。例如：就甲、乙間的訴訟，A為輔助甲而為共同訴訟參加，A所為的行為如有利益於甲時，其效力及於甲；如不利益於甲，對甲不生效力。,V             
搜索同意書,同意接受搜索時所需簽署的文件。,M             
按,依據、依照、（或可省略此虛詞）,G             
附此指明,一併說明。,A             
確認處分,行政機關就法律關係或由法律關係產生之權利或義務，或就法律上具有重要性之人或物之性質，具有拘束力之確認。關於法律關係存否之確認處分，例如：依耕地三七五減租條例所為之耕地租約登記；關於人之地位的確認處分，例如：自耕能力證明之發給等。,A             
保護規範理論,法律雖然是為公共利益或一般國民福祉而設的規定，但就法律的整體結構、適用對象、所想要產生的規範效果及社會發展因素等綜合判斷，可得知也有保障特定人的意旨時，該法律就屬於保護該特定人的規範。以行政處分來說，第三人雖然不是處分的相對人，但作成處分所依據的法律如果也具有保障該第三人的意旨時，第三人具體主張其權益因該處分受損害，而為該處分的利害關係人，即應准許其依法請求救濟（請參考本院釋字第469號解釋理由書）。,A             
告訴,犯罪被害人或與被害人有一定身分關係的人，向偵查機關（包括檢察機關、司法警察機關）告知犯罪事實，希望偵查機關（包括檢察機關、司法警察機關）追訴的行為。如車禍被撞傷之人，向警察報案而「請求偵辦」。,M             
公開審理主義,為確保裁判的公正性，提供一般國民了解及監督法庭程序之機會，進而促進國民對法庭程序公正性的信賴，除有其他涉及當事人隱私或有不適於公開的情形外（例如：法院組織法第86條但書、民事訴訟法第195條之1、家事事件法第9條第1項前段等），原則上訴訟的審理與裁判均應於一般公眾均可自由旁聽的情形下進行。,V             
改良物,為加強或增加土地的利用效能，提高其利用價值，投入勞力和資本所施作的工程、或增加的改良設施，包括建築改良物、農作改良物。建築改良物是附著於土地的建築物或工事；農作改良物是附著於土地的農作物及其他植物與水利土壤的改良（土地法第5條）。,A             
有限責任,"債務人僅以特定財產為限，對其債務所負的清償責任。例如：甲、乙、丙三人合資成立A有限公司，依據章程甲的出資額是10萬元，若A有限公司成立後向丁借款100萬元，則該100萬元債務應由A有限公司的財產清償，且即使A有限公司發生虧損，甲至多也只分擔已繳納的股款10萬元。
",V             
無期徒刑,對犯人囚禁終身的一種刑罰。,M             
依職權,由法院主動、依法可由法院主動,G             
對刑罰感應力薄弱,行為人曾因犯罪受罰，理應產生警惕作用，返回社會後能自我控管，竟又再犯罪，足見前罪之刑罰無成效，行為人對刑罰感應力薄弱，基於特別預防之法理，並兼顧社會防衛之效果，法院可裁量加重處罰。,M             
