code,name_raw,name,market,industry,isin,listed_date,cfi,yfinance_symbol,security_type_guess,parse_quality,source_section,source_line,source_col_pair
1268,漢來美食,漢來美食,上櫃,觀光餐旅,TW0001268001,2017/09/27,ESVUFR,1268.TWO,股票,structured_isin,structured_isin,85,
1294,漢田生技,漢田生技,上櫃,食品工業,TW0001294007,2024/09/26,ESVUFR,1294.TWO,股票,structured_isin,structured_isin,86,
1295,生合,生合,上櫃,食品工業,TW0001295004,2025/05/27,ESVUFR,1295.TWO,股票,structured_isin,structured_isin,87,
1301,台塑*,台塑,上市,塑膠,,,,1301.TW,股票,wide_explicit_header,wide_table,33,1
1303,南亞*,南亞,上市,塑膠,,,,1303.TW,股票,wide_explicit_header,wide_table,34,1
1304,台聚,台聚,上市,塑膠,,,,1304.TW,股票,wide_explicit_header,wide_table,35,1
1305,華夏,華夏,上市,塑膠,,,,1305.TW,股票,wide_explicit_header,wide_table,36,1
1307,三芳,三芳,上市,塑膠,,,,1307.TW,股票,wide_explicit_header,wide_table,37,1
1308,亞聚,亞聚,上市,塑膠,,,,1308.TW,股票,wide_explicit_header,wide_table,38,1
1309,台達化,台達化,上市,塑膠,,,,1309.TW,股票,wide_explicit_header,wide_table,39,1
1310,台苯,台苯,上市,塑膠,,,,1310.TW,股票,wide_explicit_header,wide_table,40,1
1312,國喬,國喬,上市,塑膠,,,,1312.TW,股票,wide_explicit_header,wide_table,41,1
1313,聯成,聯成,上市,塑膠,,,,1313.TW,股票,wide_explicit_header,wide_table,42,1
1314,中石化,中石化,上市,塑膠,,,,1314.TW,股票,wide_explicit_header,wide_table,43,1
1315,達新,達新,上市,塑膠,,,,1315.TW,股票,wide_explicit_header,wide_table,44,1
1316,上曜,上曜,上市,化工,,,,1316.TW,股票,wide_explicit_header,wide_table,3,3
1319,東陽#,東陽,上市,塑膠,,,,1319.TW,股票,wide_explicit_header,wide_table,45,1
1321,大洋,大洋,上市,塑膠,,,,1321.TW,股票,wide_explicit_header,wide_table,46,1
1323,永裕,永裕,上市,塑膠,,,,1323.TW,股票,wide_explicit_header,wide_table,47,1
1324,地球,地球,上市,塑膠,,,,1324.TW,股票,wide_explicit_header,wide_table,48,1
1325,恆大,恆大,上市,塑膠,,,,1325.TW,股票,wide_explicit_header,wide_table,49,1
1326,台化*,台化,上市,塑膠,,,,1326.TW,股票,wide_explicit_header,wide_table,50,1
1333,恩得利,恩得利,上櫃,電子零組件,,,,1333.TWO,股票,wide_explicit_header,wide_table,54,16
1336,台翰,台翰,上櫃,電子零組件業,TW0001336006,2007/11/02,ESVUFR,1336.TWO,股票,structured_isin+wide_explicit_header,structured_isin+wide_table,"55,88",16
1337,再生-KY,再生-KY,上市,塑膠,,,,1337.TW,股票,wide_explicit_header,wide_table,51,1
1338,廣華-KY,廣華-KY,上市,汽車,,,,1338.TW,股票,wide_explicit_header,wide_table,33,4
1339,昭輝,昭輝,上市,塑膠,,,,1339.TW,股票,wide_explicit_header,wide_table,52,1
1340,勝悅-KY,勝悅-KY,上市,塑膠,,,,1340.TW,股票,wide_explicit_header,wide_table,53,1
1402,遠東新*,遠東新,上市,紡織纖維,,,,1402.TW,股票,wide_explicit_header,wide_table,57,1
1409,新纖,新纖,上市,紡織纖維,,,,1409.TW,股票,wide_explicit_header,wide_table,58,1
