Date,00679B
2024-08-14,31.45
2024-08-15,31.7
2024-08-16,31.27
2024-08-19,31.16
2024-08-20,31.06
2024-08-21,31.28
2024-08-22,31.28
2024-08-23,31.13
2024-08-26,31.18
2024-08-27,31.11
2024-08-28,31.12
2024-08-29,30.93
2024-08-30,30.87
2024-09-02,30.74
2024-09-03,30.74
2024-09-04,31.14
2024-09-05,31.37
2024-09-06,31.53
2024-09-09,31.45
2024-09-10,31.76
2024-09-11,32.1
2024-09-12,31.89
2024-09-13,31.84
2024-09-16,31.7
2024-09-18,31.88
2024-09-19,31.49
2024-09-20,31.37
2024-09-23,31.19
2024-09-24,31.14
2024-09-25,31.02
2024-09-26,30.86
2024-09-27,30.79
2024-09-30,30.77
2024-10-01,30.89
2024-10-04,30.71
2024-10-07,30.53
2024-10-08,30.34
2024-10-09,30.26
2024-10-11,30.04
2024-10-14,29.83
2024-10-15,29.98
2024-10-16,30.27
2024-10-17,30.32
2024-10-18,29.9
2024-10-21,29.76
2024-10-22,29.22
2024-10-23,29.24
2024-10-24,29.34
2024-10-25,29.63
2024-10-28,29.15
2024-10-29,29.26
2024-10-30,29.31
2024-11-01,29.39
2024-11-04,29.09
2024-11-05,29.34
2024-11-06,29.01
2024-11-07,28.98
2024-11-08,29.15
2024-11-11,29.44
2024-11-12,29.77
2024-11-13,29.3
2024-11-14,29.03
2024-11-15,29.12
2024-11-18,28.77
2024-11-19,28.8
2024-11-20,28.79
2024-11-21,28.92
2024-11-22,28.91
2024-11-25,29.07
2024-11-26,29.38
2024-11-27,29.43
2024-11-28,29.64
2024-11-29,29.75
2024-12-02,29.95
2024-12-03,30.06
2024-12-04,29.68
2024-12-05,29.99
2024-12-06,30.08
2024-12-09,30.19
2024-12-10,29.91
2024-12-11,29.75
2024-12-12,29.41
2024-12-13,29.21
2024-12-16,29.03
2024-12-17,28.99
2024-12-18,29.03
2024-12-19,28.72
2024-12-20,28.52
2024-12-23,28.57
2024-12-24,28.38
2024-12-25,28.48
2024-12-26,28.33
2024-12-27,28.44
2024-12-30,28.24
2024-12-31,28.65
